radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,212,10,12603,279195,0,7.4192047119141,43.74137878418,1000,1,1,1473880664,1473880664,0
LTE,212,10,561,2662,0,7.4288177490234,43.740005493164,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,11393,0,7.4137115478516,43.73176574707,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,6028,0,7.4233245849609,43.735885620117,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,6027,0,7.4301910400391,43.740005493164,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,16289,0,7.4013519287109,43.724899291992,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,6258,0,7.4178314208984,43.730392456055,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,4237,0,7.4246978759766,43.740005493164,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,16031,0,7.4219512939453,43.734512329102,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,4716,0,7.4301910400391,43.740005493164,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,7545,0,7.4219512939453,43.735885620117,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,15254,0,7.4274444580078,43.740005493164,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,15253,0,7.4288177490234,43.740005493164,1000,1,1,1474051039,1474051039,0
LTE,212,10,561,16548,0,7.4137115478516,43.73176574707,1000,1,1,1474051039,1474051039,0
LTE,212,10,12603,16866,0,7.4384307861328,43.752365112305,1000,2,1,1474278456,1489166296,0
LTE,212,10,12603,7595,0,7.417831,43.739319,1000,2,1,1474278456,1490328950,0
UMTS,212,10,12603,274855,0,7.4384307861328,43.749618530273,1000,1,1,1474253304,1474253304,0
UMTS,212,10,12603,274895,0,7.437111,43.749917,1000,2,1,1474278929,1542189217,0
UMTS,212,10,12603,279357,0,7.4398040771484,43.750991821289,1000,1,1,1474253304,1474253304,0
LTE,212,10,12603,16031,0,7.4137115478516,43.73176574707,1000,1,1,1474549483,1474549483,0
LTE,212,10,12603,7100,0,7.426369,43.73378,1000,3,1,1474573590,1538999152,0
LTE,212,10,12603,2920,0,7.418339,43.735096,1000,3,1,1474573590,1539004990,0
LTE,212,10,12603,16079,0,7.413025,43.731766,1000,2,1,1474573590,1475807054,0
LTE,212,10,12603,7594,0,7.4178314208984,43.734512329102,1000,2,1,1474573590,1489166285,0
LTE,212,10,12603,16289,0,7.435958,43.737259,1628,5,1,1474573590,1490927767,0
LTE,212,10,12603,16314,0,7.413712,43.73085,1000,3,1,1474573590,1488269904,0
LTE,212,10,12603,16290,0,7.415085,43.731079,1000,2,1,1474573590,1479647690,0
LTE,212,10,12603,16548,0,7.4082183837891,43.729019165039,1000,1,1,1474549483,1474549483,0
LTE,212,10,12603,16080,0,7.4123382568359,43.73176574707,1000,1,1,1474549483,1474549483,0
UMTS,212,10,12603,273576,0,7.4123382568359,43.729019165039,1000,1,1,1475029662,1475029662,0
UMTS,212,10,12603,262750,0,7.4246978759766,43.737258911133,1000,1,1,1475061363,1475061363,0
UMTS,212,10,12603,262749,0,7.4219512939453,43.735885620117,1000,1,1,1475061363,1475061363,0
UMTS,212,10,12603,262547,0,7.4233245849609,43.733139038086,1000,1,1,1475061363,1475061363,0
LTE,212,10,12603,2998,0,7.4192047119141,43.733139038086,1000,1,1,1475807054,1475807054,0
LTE,212,10,12603,15298,0,7.426071,43.740921,1000,3,1,1476836181,1484758014,0
LTE,212,10,12603,4291,0,7.425589,43.740799,1000,3,1,1476836181,1547824281,0
